Wavelength Trans 
nm % 
340 63,9807546304151 
340,2 64,1387096657241 
340,4 64,2996388663506 
340,6 64,8166587719995 
340,8 64,8210990826792 
341 65,1053100858741 
341,2 65,3321008171179 
341,4 65,3084285648564 
341,6 65,4709481815926 
341,8 65,3052690030991 
342 65,3902763384151 
342,2 65,9782276797311 
342,4 66,3004154341806 
342,6 66,3649619865391 
342,8 66,5492075232894 
343 66,3968581230668 
343,2 66,5095665855206 
343,4 66,6286456033289 
343,6 67,0744433467189 
343,8 67,3266320574571 
344 67,3635039909494 
344,2 67,4872069455491 
344,4 67,8383991977794 
344,6 67,9211238201837 
344,8 67,9629735249939 
345 68,0406846899593 
345,2 68,2146193833904 
345,4 68,2057515797486 
345,6 68,9595192903628 
345,8 68,7898066763493 
346 68,9581070147122 
346,2 68,8629730119902 
346,4 68,8572978591175 
346,6 68,9246304299896 
346,8 69,0130766510527 
347 69,420620114978 
347,2 69,4419908900613 
347,4 69,4044401154357 
347,6 69,7654421525569 
347,8 69,4970331402016 
348 69,6961848571368 
348,2 69,7892225920235 
348,4 70,0993340916171 
348,6 70,4793528108889 
348,8 70,3278158127669 
348,999999999999 70,4676312613742 
349,199999999999 70,9082594491941 
349,399999999999 70,5600928335097 
349,599999999999 70,5654953653047 
349,799999999999 70,4097113651157 
349,999999999999 70,7221906279148 
350,199999999999 70,7304015727134 
350,399999999999 70,9600361284506 
350,599999999999 71,3463555070858 
350,799999999999 71,2668409626923 
350,999999999999 71,4699666434022 
351,199999999999 71,4944613488817 
351,399999999999 71,7217339866469 
351,599999999999 71,0010434153905 
351,799999999999 71,149568371199 
351,999999999999 71,602812289318 
352,199999999999 71,7172300876448 
352,399999999999 71,6518158547691 
352,599999999999 72,0949629201602 
352,799999999999 71,7419820861008 
352,999999999999 72,1053163825475 
353,199999999999 72,1649812193024 
353,399999999999 71,8591929114898 
353,599999999999 72,1074311168642 
353,799999999999 72,6376769719737 
353,999999999999 72,5981893479726 
354,199999999999 72,6578060290854 
354,399999999999 72,7479533853415 
354,599999999999 72,7258559967323 
354,799999999999 72,6712896080136 
354,999999999999 72,7006163921779 
355,199999999999 72,9682654338823 
355,399999999999 73,0205143022241 
355,599999999999 73,1064239622463 
355,799999999999 73,129201821492 
355,999999999999 73,1676779350884 
356,199999999999 72,9288259655191 
